T01	3m20cm-3m10cm-□mm=5mm	□kg=95000g
368	50560mm+□m=204m56cm	6516時間+720時間-□日=3540時間
369	847kg+61kg-□kg=361kg	584m+13m82cm-□m=50820mm
370	200mm+□mm+17cm=1368mm	□g+51700mg+591g=1kg640g700mg
371	545m2cm-253m65cm-16m89cm=□cm	□mg+280mg+24000mg=51728mg
372	52212秒-6312秒-10200秒=□分	32400分+28640分-25340分=□時間
373	49m94cm+□m+52902mm=160m84cm2mm	188cm-30cm-□cm=100cm
374	□m+52910mm=216m91cm	392日-60日-□日=168日
375	357分=□分	52927分-7日2時間-21307分=□時間
376	53000mm+261m+□m=995m	1581秒-300秒-600秒=□秒
377	97km290m-□km=35290m	115g300mg-□g=53300mg
378	55000cm-7200cm-□m=223m	1000cm+□cm+1m=13m55cm
379	55200分-□日=8日8時間	50cm-□cm=200mm
380	□時間=2640分	55488分+55680分-□日=33日4時間48分
381	□分+56分18秒=9798秒	53g40mg+109g993mg-56033mg=□g
382	7m13cm-□cm=2040mm	□m+53m=56200cm
383	240時間+240時間-199時間=□時間	56700cm-66m-□m=22000cm
384	59400g-400g-□kg=4000g	91m6cm-26m6cm-□m=1000cm
385	406mg-8mg-100mg=□mg	60300g+260kg150g-□kg=22kg450g
386	□g+17547mg=60547mg	82m36cm1mm-26320mm-13m4cm1mm=□m
387	59000mg+61623mg-47g623mg=□g	2日12時間+□時間+1日17時間=7日6時間
388	11m92cm-□cm=2m73cm	65652秒-□分=2時間55分12秒
389	29kg-□kg=10kg	66840分-11日4時間-□日=16日6時間
390	245kg948g+444kg812g400mg-156kg760g400mg=□kg	660日14時間27分-□日-80日2時間27分=66960分
391	67293秒+1日6時間10分-21093秒=□時間	200cm+5873cm-□m=17m73cm
392	64370m+68000m-□km=21370m	103g520mg+45066mg-□g=37586mg
393	23760g+306kg450g-69210g=□kg	615km830m-229km830m-□km=125km
394	13692秒+2307秒-1時間53分39秒=□分	282kg900g-71000g-58900g=□kg
395	100mg+503mg-□mg=300mg	200m+21300cm+□m=71600cm
396	73415mg-□g=31g415mg	55kg606g600mg-10kg33g600mg-3kg573g=□kg
397	1385kg-169kg-□kg=1000kg	□kg+76000g+9kg605g=301kg605g
398	78124mg-9096mg-□g=19028mg	80cm-□cm-200mm=10cm
399	80320cm-13920cm-□m=28000cm	50460分-□時間-15日14時間12分=4968分
400	277g-□g=60g	154g+143g815mg-80815mg=□g
401	198m-11m-81000mm=□m	106kg=□kg
402	47kg748g100mg+15kg403g+□kg=127kg151g100mg	82920秒+2日2時間21分36秒-9時間23分36秒=□時間
403	248g627mg-□g=84627mg	30mg+1000mg-866mg=□mg
404	1000mg+□mg+100mg=1g151mg	87320m-21km919m-14401m=□km
405	1920cm+53m80cm-500cm=□m	12400g+87490g-31kg890g=□kg
406	681m30cm+88000mm-73m30cm=□m	□時間+3日=32日
407	88300cm-□m=33000cm	11064分+1日8時間+□時間=32日1時間24分
408	11m30cm+□m+20m50cm=89800mm	1451時間-□日=2日11時間
409	□秒+6分+5分=17分31秒	□kg+278kg+90890g=759kg890g
410	94290mg+132g500mg-68g790mg=□g	398日-□日=240日
411	423m70cm+95m+□m=94370cm	68775cm-□m-5m75cm=257m
412	95800cm-300m-□m=18000cm	□分+23820秒+4時間12分=18時間47分
413	96901mm+497m+□m=1km121m90cm1mm	370km+450km-292km=□km
414	172km+120km-□km=140km	101000g+202kg374g-151kg374g=□kg
415	102600mg+18g725mg-13325mg=□g	90m+□m+110m=308m
416	3時間39分-□分-60分=2時間	106680分-□日=35日2時間
417	33184m+225km490m-□km=108674m	12000秒-□分=3000秒
418	180g+1kg-1000g=□g	109990mg+101g377mg-31g367mg=□g
419	110000m+84600m-68km600m=□km	1000mm+100mm-□mm=974mm
420	38304秒+3時間20分-□分=8724秒	115481cm-20181cm-□m=26000cm
421	□mg+4mg+62mg=156mg	118943mg-□g=28g943mg
422	73m-□m=24m	119520分-□日-29日6時間=6840分
423	35分27秒+□分=10467秒	60g+□g+120000mg=319g
424	219日22時間21分-49日3時間44分-122077分=□日	32kg160g880mg+80kg997g876mg-□kg=27kg158g756mg
425	46kg+124300g-□kg=30300g	□km+81km599m=221km599m
426	324m-□m=125000mm	1000mm+1590mm-□cm=600mm
427	351kg371g630mg-□kg=126kg371g630mg	127200mg+181g560mg-□g=83760mg
428	134260mg-5260mg-10g=□g	□m+74803mm+113200mm=307m3mm
429	□kg+39kg+20kg810g=135810g	55634m+51km-□km=30km634m
430	136229mg+156g800mg-□g=33029mg	125m35cm9mm+392m20cm-□m=257m55cm9mm
431	573g132mg-182g281mg-□g=136851mg	140km+230km+□km=624km
432	137802mg+□g=652g802mg	□秒=8分35秒
433	138500mg-22100mg-□g=48g400mg	125日22時間1分36秒-□日=57日22時間1分36秒
434	18213秒-□分-37分33秒=7200秒	24200mg+139000mg-□g=17g200mg
435	39m+□m=22300cm	323g100mg-□g=139100mg
436	1156g-□g-1g=1kg	421km99m-□km-124km=142099m
437	900分+□時間+600分=10080分	□g=143000mg
438	3960時間+5040時間+□日=14688時間	430km-□km-50km=143000m
439	□分+4日8時間46分+43日22時間48分=136384分	47040日+29856日+□日=143706日
440	146470mg-□g=55g470mg	1日+□時間=6900分
441	524g685mg-□g-121685mg=148000mg	4g530mg+□g+20g160mg=279g690mg
442	100g+□g+10g=328g	143g400mg+223g-□g=148400mg
443	□g+0g+124g=350g	148900mm+□m+187m80cm=562m70cm
444	1730日+480日-□日=600日	61000mm+152164mm-52164mm=□m
445	12480秒+11時間35分36秒-7416秒=□時間	152900m+41000m-□km=63km900m
446	48秒+□秒+1分=4分53秒	346km190m-□km-154190m=7km
447	□kg+154571g=320kg571g	427g559mg-100000mg-161g559mg=□g
448	□時間+23160分=36日16時間	652m64cm-□m=158640mm
449	51935mg+34g350mg+□g=152285mg	159996g-□kg-65696g=28kg300g
450	18日17時間-2日6時間-8700分=□時間	161460mg+□g+123g332mg=534g792mg
451	163665mm+231m17cm-85835mm=□m	1409m-1km-□m=100m
452	513g287mg-□g=164287mg	230分+3時間-61分=□分
453	651g530mg-164530mg-139000mg=□g	300秒+329秒-□秒=281秒
454	3日17時間20分+3日10時間17分+□時間=11日5時間37分	165480分+57336分-81696分=□日
455	□m=171000mm	170g+122g-121g=□g
456	1245kg344g-55kg464g-□kg=437kg880g	1190kg-□kg-266kg=172000g
457	446日12時間-□日=4500時間	□kg+252kg350g+172600g=683kg950g
458	150mm+1m-□mm=20cm3mm	177928cm-□m=83228cm
459	21kg540g+9550g-14kg90g=□kg	18km425m20cm+355m68cm-□km=178088cm
460	180467日17時間20分+75875日19時間23分36秒-□日=61388日12時間43分36秒	138km787m+73km586m98cm-17km418m98cm=□m
461	331g-100g-□g=40g	28000g+182200g-□kg=19kg200g
462	□kg+19245g+66kg260g=185505g	100g+100g-100g=□g
463	187568mm+186m40cm-70m96cm8mm=□m	389km968m56cm+31km284m-□km=118km252m56cm
464	43g300mg+100309mg-□g=29609mg	188027m-□km=74km27m
465	127100g-10900g-□kg=14kg200g	90000mm+□m=192000mm
466	459kg760g-192520g-35240g=□kg	30mg+□mg+110mg=372mg
467	23771mg+□g+1000mg=99g771mg	65000mm+56m+□m=196000mm
468	24秒+□秒+1分=111秒	199984秒-□時間-18時間37分5秒=9時間55分59秒
469	201530mm-41m53cm-□m=80m	□g+57g+100g=237g
470	7920mm-□cm=3m13cm	681kg-□kg=202000g
471	282kg250g+145kg100g-206350g=□kg	249日9時間-□日=681時間
472	208279m+□km+163km934m=602km213m	1000mg+207mg+□mg=1437mg
473	210931g-10631g-□kg=34300g	□m+1180cm+150m=32780cm
474	272mg-□mg-100mg=45mg	□km+55000m+32km=214000m
475	700mm+2325mm-□cm=56cm5mm	437g724mg+26g-□g=217724mg
476	□m+47983mm+143664mm=362m64cm7mm	221367mg-□g=50367mg
477	3m26cm8mm-788mm-23cm=□cm	225000g=□kg
478	1225mg-1g-100mg=□mg	227950g-□kg-42kg950g=60000g
479	233460時間+13602日-□日=10192日12時間	12000km+□km+12000km=37137km
480	238210mm-23470mm-1m74cm=□m	20mg+200mg-□mg=7mg
481	4256mg+238504mg-□g=95760mg	872時間+□日=4400時間
482	240840分-□日=75日6時間	179760分+51日4時間-120960分=□日
483	□m=241000mm	□mg+230mg+200mg=671mg
484	2690mm-51cm-□cm=1000mm	245160g-□kg-92160g=35000g
485	□時間+246000秒=15日11時間20分	200g+81g+□g=584g
486	248000mm-□m=65m	78日+135日-□日=30日
487	10km+1000km-872km=□km	□km+110579m=248579m
488	111820cm-33590cm-□m=388m30cm	645g100mg-□g=251100mg
489	256380g-36kg380g-20kg=□kg	180時間+□時間+8日=572時間
490	262700m+□km+235154m=783km854m	□日+360日+213日=859日
491	624kg+186000g-263000g=□kg	23日23時間24分-□時間=1日4時間24分
492	7029秒+□分=19209秒	267000g-□kg=64000g
493	41000m+267000m-□km=131km	456cm-79cm-□cm=200cm
494	404cm-□cm=2m	270084mg+12g-□g=78g84mg
495	272000m+203km460m-□km=182km460m	□mm=293mm
496	2時間24分+1時間36分-□分=24分	19kg265g+□kg+41500g=276765g
497	1344日21時間4分-558日10時間4分-277140分=□日	1029kg382g-□kg=435kg382g
498	227g+50g-□g=130g	70km+□km+64000m=281000m
499	1g+110mg-950mg=□mg	□kg+58070g+65800g=283870g
500	646km749m-286km749m-43km=□km	606g-□g=289000mg
501	91km650m+289000m-□km=63km650m	453日15時間-□日=3279時間
502	□kg+91kg470g=219470g	290200mg-102g200mg-60g=□g
503	282g+100g-42g=□g	165g689mg+290840mg-□g=116529mg
504	9g718mg+1g774mg+□g=131492mg	292350g-61000g-□kg=111kg350g
505	1775mg-□mg-300mg=1000mg	293520mm+239m34cm1mm-□m=57m86cm1mm
506	295085mg-4g85mg-143000mg=□g	3m40cm-1280mm-□cm=640mm
507	□kg=99kg	50日10時間31分+□日+56日3時間59分=296070分
508	363g300mg+297100mg+□g=1kg28g400mg	28012秒-□分=1時間38分52秒
509	700km+600km-□km=544km	1kg123g300mg-298000mg-□g=69300mg
510	□時間+22時間8分=299280秒	19g+□g+35700mg=115700mg
511	299520分+256968分-160日10時間48分=□日	44409cm-14m59cm-□m=203m50cm
512	302300g-□kg=94300g	□cm+300cm+200cm=7m8cm
513	33120分+305324分-□日=104日44分	6840分+7620分-4日14時間=□時間
514	921km-208000m-306000m=□km	896kg-333kg-156kg=□kg
515	2時間40分-□分=29分	312320m-113350m-67970m=□km
516	□m+48m86cm8mm=319868mm	20m+345m-□m=94m
517	220km+1000km-991km=□km	□日=329760分
518	38g436mg+331186mg-159g622mg=□g	□分=12600秒
519	641m+334890mm-238m89cm=□m	5m28cm+1m80cm+□cm=14450mm
520	335355g-□kg-14355g=63000g	455kg900g-90420g-□kg=107kg480g
521	128m+51m7cm+□m=336070mm	381km291m-88000m-□km=136291m
522	337300g+□kg+284000g=1235kg300g	182808分+622日21時間36分-135日20時間24分=□日
523	103日21時間20分+93日21時間37分54秒-26日18時間57分54秒=□日	338950g-107950g-60000g=□kg
524	□m+530m+50202cm=1km777m2cm	340235g+963kg435g-558kg670g=□kg
525	□分+3時間44分+1時間42分=9時間53分	675日4時間-340920分-246840分=□日
526	□km+130600m+343000m=903km600m	924日23時間-314日10時間-259980分=□日
527	□秒+1分12秒=3分19秒	349678分-□日=166798分
528	1920分+2日13時間+□時間=12360分	351135分-59日18時間15分-102360分=□日
529	360000mg-□g=76g	□m+100m=384m
530	1kg307g163mg-□g-186148mg=363015mg	□分+38分+9360秒=57120秒
531	□mg+1g+280mg=1g644mg	364000m=□km
532	365000mm-8m-□m=147000mm	33m50cm+285000mm-108500mm=□m
533	30km+□km=472km	□日+349320分+366359分=938日23時間59分
534	46560秒-□分=3時間52分	912g500mg-□g=368500mg
535	□m+35m=274m	□km+133km=372000m
536	110040秒+374309秒-1日3時間32分29秒=□時間	3時間47分-□分=120分
537	□g+1kg+1kg=2kg134g	380252分-103680分-□日=58日1時間32分
538	387000m+326623m-160km623m=□km	1072kg597g255mg-□kg=519kg597g255mg
539	□m+150m70cm+26700cm=860m70cm	986kg240g-□kg-394240g=149kg
540	394731分+748日13時間28分-□日=363日16時間19分	54日14時間38分-□時間=27日3時間38分
541	975日7時間17分+122日23時間36分-479日6時間53分=□日	1kg17g400mg-□g=398400mg
542	□日+15日=520日	1km103m48cm-401420mm-□m=197060mm
543	412100mg-□g=123g100mg	509mg-100mg-120mg=□mg
544	24360秒+12679秒-□分=12139秒	413100mm+409220mm+□m=1km237m32cm
545	19899秒-□分=1時間8分39秒	413443g-63443g-87kg=□kg
546	10時間44分20秒+414340秒-147000秒=□時間	1日17時間12分+□時間=5日6時間12分
547	1148kg800g+77800g-414600g=□kg	26122秒+46980秒-□分=6時間46分22秒
548	5日11時間36分+17517分+□時間=45873分	415530mg-□g=74530mg
549	1102km729m-17km729m-□km=419000m	□日+393日14時間49分=1059日14時間49分
550	22日15時間10分24秒-419808秒-□時間=408816秒	3600時間+140日+□日=603日
551	692分-□分=180分	□日+209日4時間20分+419904分=1012日18時間44分
552	29820分-10080分-7680分=□時間	□kg+123kg470g+98kg350g=422820g
553	65g140mg+□g=437140mg	12600分+□時間=34920分
554	1381kg900g-211000g-□kg=437900g	1028日-□日=295日
555	35230cm-□m=15730cm	8時間33分-□分-3時間7分=7920秒
556	372804312秒-1291日11時間50分-116499312秒=□時間	447km590m+442000m-219km590m=□km
557	1kg240g-□g-1kg=100g	55日4時間+□日+162720分=443760分
558	1668kg327g-594kg-450327g=□kg	8分38秒+384秒-4分38秒=□秒
559	138kg+25kg280g+□kg=451280g	288g=□g
560	220g+14000mg+□g=457000mg	□m=223m
561	458499mm+398000mm-352499mm=□m	909日-□日=405日
562	476000mg-□g=201000mg	613g439mg-□g-160g=178g439mg
563	20日14時間4分-□時間=479040秒	770m90cm-27990cm-130m=□m
564	222m+18400mm+□m=491400mm	323秒-□秒=1分12秒
565	496920分-□日=99日2時間	231m+1000m-985m=□m
566	981km949m40cm-□km-138km721m10cm=382km228m30cm	499080m-23km80m-□km=15km
567	41705cm-□m=6105cm	501300分+457872分-310日2時間12分=□日
568	205771分+125040分-□日=52日17時間31分	□m+153000mm+172783mm=502783mm
569	6分12秒+120秒-3分12秒=□分	510169秒+3日22時間43分-4日20時間25分49秒=□日
570	137000mg+□g+155730mg=516730mg	1834時間+5100時間-□日=1558時間
571	12840分+31日6時間8分-14日5時間8分=□時間	517608分+415日18時間-□日=152日4時間48分
572	518400分=□日	18日6時間24分-□時間-4080分=10時間24分
573	264時間+367時間-□時間=7日22時間	524000g-71000g-12000g=□kg
574	254800mg+□g=529800mg	□g+100g=375g
575	530595mg-121g395mg-192200mg=□g	136mg+95mg-□mg=14mg
576	246220mg+112850mg-124g70mg=□g	20日10時間49分12秒-4日10時間28分-□時間=537672秒
577	886g660mg-11g-□g=410660mg	544000g-□kg=79kg
578	□kg=546000g	38380cm+449m-□m=286m80cm
579	200km+□km+1000km=1431km	101640mm+□m+213m60cm=546240mm
580	18日12時間21分19秒-2日5時間6分31秒-548088秒=□時間	132km+1000km-893km=□km
581	383kg688g-□kg-104kg990g=99kg698g	51km310m+554140cm+□km=235km851m40cm
582	45日+□日+2970時間=800日18時間	1607kg300g-412kg300g-□kg=563000g
583	680mm+1m-78cm2mm=□mm	792m53cm+564000mm+□m=2km254m53cm
584	□日+78日15時間22分+46日14時間24分=390日5時間46分	584960m-226km160m-93km800m=□km
585	1060日4時間24分-20760分-□日=591504分	15429mm-4319mm-□cm=4m76cm
586	1246km+178km-608000m=□km	1kg20g-□g=204000mg
587	608096m-□km-272096m=42km	294kg500g-□kg=500g
588	417km=□km	□kg+196kg980g=613980g
589	1000cm+100cm-□cm=750cm	266kg+□kg=616000g
590	118kg200g+633000g-47200g=□kg	68日8時間-576時間-□時間=15日
591	1429時間-480時間-17日12時間=□時間	643000g-□kg=114000g
592	290kg+159kg-□kg=199kg	647909分-□日-260837分=18日19時間12分
593	189g676mg+□g+212800mg=664476mg	20040秒+6020秒-10340秒=□分
594	60300mm+14270mm+□m=674570mm	□時間+34800分+13440分=84240分
595	□m+29m80cm+3m=688800mm	1549cm-293cm-6m=□cm
596	689180g-□kg-141100g=188080g	□日+150日19時間40分=510日19時間40分
597	□kg+211000g+198kg590g=691590g	88g+309g-□g=115000mg
598	821g887mg+693400mg-666287mg=□g	1649mg-□mg=800mg
599	15時間7分36秒-□時間-21225秒=8031秒	700043cm+550903cm-5km509m46cm=□km
600	90180分-34740分-18960分=□時間	92800mg+□g=700800mg
601	731km126m-□km=202km126m	□km+179000m=708000m
602	39km+717000m-□km=363000m	1km533m-140m-□m=1km
603	382680秒+730677秒-□時間=4557秒	42日+□日=350日
604	737099mm-191m9cm9mm-□m=252000mm	2時間+240分+□分=10時間54分
605	509mm-200mm-8cm=□mm	747120秒+7日16時間52分-6日19時間24分=□時間
606	747540秒+□日=50日15時間39分	102kg180g-22kg270g-□kg=37kg910g
607	753840秒-□時間=20時間24分	100kg+□kg+1000kg=1289kg
608	23500cm+□m+3000cm=623m	754713g-115kg663g-□kg=281050g
609	10m98cm-□cm-1m=3m42cm	759718g+107900g-211618g=□kg
610	152kg245g611mg+1460kg645g571mg-□kg=805kg891g182mg	1664日14時間8分-□日-470237分=764691分
611	771478分-□日=152278分	16690mg+549000mg-135g690mg=□g
612	707kg+100kg-400kg=□kg	785000g-□kg=378000g
613	32日5時間41分12秒-□時間-786672秒=11日4時間10分	394000m-□km=107km
614	4g+□g=9g	288040cm+□km=788040cm
615	1903kg902g-□kg=823902g	□時間+39日13時間18分+17日23時間=102日12時間18分
616	8922m+□km+179610m=534532m	□日+229日16時間=828960分
617	233km40m+263km500m+□km=829540m	38808分-13128分-3日23時間=□時間
618	112000g+294180g+□kg=845180g	1018km600m-□km-415100m=164500m
619	360日+□日+441日=1338日	849960mm-251300mm-61660mm=□m
620	850000m-□km=337000m	35676分+11064分-□時間=11日2時間
621	17m69cm-5160mm-6m30cm=□cm	131930mm+851076mm-360m6mm=□m
622	852000mg-□g=424g	□g+199g900mg+124g310mg=752210mg
623	1kg50g91mg-□g-2923mg=420g168mg	857490g+78000g-□kg=308kg490g
624	13日2時間26分10秒+25日7時間50分-□時間=861370秒	700日+455日-472日=□日
625	871000g-□kg=422kg	131km530m+760780m-443310m=□km
626	624kg810g+876610g-□kg=707420g	□分+7時間48分+14160秒=1日58分
627	□時間+301464秒=877464秒	3日15時間+□時間+5640分=20460分
628	879168秒-□時間=277968秒	□分+2分+5880秒=4時間27分
629	42824秒-3時間34分-53分44秒=□分	888500g-□kg=442500g
630	400g+497g-64g=□g	72m27cm+892000mm-131270mm=□m
631	893000g-□kg=266kg	478kg+1000kg+□kg=2105kg
632	□mg+1000mg=1476mg	899100mg-410100mg-13g=□g
633	17日5時間+□時間=906780分	7m+□mm+12m23cm7mm=33937mm
634	543m87cm2mm+331m10cm-□m=182m97cm2mm	482日5時間+914880分-□日=612780分
635	319603g+□kg=709kg603g	232000g+□kg+300000g=922000g
636	2分13秒+4分-2分6秒=□秒	954360秒-□時間=65160秒
637	□g+259g70mg+234g200mg=959270mg	6960mm-□cm-1m=1m30cm
638	990mm+□cm+32cm6mm=6166mm	964660g-266700g-212kg960g=□kg
639	□m+21km900m+6km=52258m	49097km700m-□km-23772km=967700m
640	□kg+405kg+86500g=975500g	56147分-□時間=18日19時間47分
641	983779mm-325m7cm9mm-□m=241m70cm	□分+24981秒=13時間53分21秒
642	36日4時間+10日16時間-23日4時間=□時間	1043880mg-□g=475g880mg
643	2m77cm+32cm5mm+□cm=10m83cm5mm	1071003mg-□g-113g460mg=183543mg
644	1079秒-3分-□秒=4分	119227g+□kg+301410g=1079637g
645	1097940秒+25分35秒-□日=5日17時間24分35秒	8560mm-□m=1m56cm
646	1114100g-361800g-□kg=288kg300g	□日=464日
647	1129300mg+□kg+14kg209g=38kg338g300mg	1m2cm4mm-1000mm-□mm=1mm
648	273日8時間+184680分-□日=188日14時間	1167882秒-□時間=401082秒
649	□時間+1194192秒+15日2時間34分=51日3時間17分12秒	778380秒+17日21時間27分39秒-□時間=4日16時間40分39秒
650	583日19時間+1199640分-□日=534日21時間	130kg+800kg+□kg=1812kg
651	1210400m+222km990m-445km390m=□km	1628日14時間-□日=640日14時間
652	158880時間+□日=28512日	1212000秒+7日17時間7分30秒-6日12時間55分30秒=□分
653	4日19時間46分+1220688秒-□時間=3日14時間50分48秒	1000kg+122kg-□kg=754kg
654	1240240g+4700g-□kg=586940g	793cm-□cm=1m35cm
655	402400mm+□m+323m80cm=1264200mm	1000kg+410kg-□kg=872kg
656	368712分+□日+360000分=1273032分	123000mg+295200mg-40g200mg=□g
657	2分+□秒+420秒=19分10秒	1278207g-236407g-□kg=431800g
658	1303800秒-□日=439800秒	10g+□g+1g=21g
659	269km893m+□km=632km893m	1306800秒=□時間
660	□m+20m=177m	283km210m60cm-□km-1337360cm=112km837m
661	481km693m-1364000cm-90km53m=□km	90g110mg+186g+□g=654110mg
662	2m6cm9mm-370mm-□mm=1m	1373339m-□km=674km339m
663	232320秒+516462秒+□時間=1418382秒	301日-□日=115日
664	1441447分-□日-315日10時間7分=427080分	120日+□日+192日=701日
665	48320mg+1445000mg-646320mg=□g	□日+840日+16日=1703日
666	659m50cm6mm+118000mm+□m=1451506mm	1594564478cm-□km-385876178cm=534688300cm
667	53200cm+150m-309m=□m	173187km732m46cm+2999km918m-86667650460mm=□km
668	1097日12時間-220日-392日12時間=□日	371208分+418560分+□日=1488168分
669	542m=□m	264日8時間+230日6時間+□日=1492680分
670	□日=237日	1498152秒-□時間=644952秒
671	1815kg750g-413750g-□kg=618kg	1523280mm-□m=739280mm
672	□cm+6m+3m47cm3mm=16m78cm3mm	1556990mg-□g-230070mg=595920mg
673	1kg639g-□g-555g=500g	1642574mg-543g-□g=515g574mg
674	3日22時間49分14秒+6日21時間45分57秒+□時間=1654511秒	□g+180171mg=379g171mg
675	48080cm+19800cm+□m=121380cm	502560分+265日18時間+□日=1655640分
676	796g-130g-□g=40g	228420分+□日+539190分=1669050分
677	683940分+757日47分-□日=491日23時間47分	1753260mg-702g700mg-□g=310560mg
678	□m+592m60cm+318m=1753600mm	19977分+36840分-□時間=6237分
679	420kg547g590mg-□kg=49kg547g590mg	240日2時間9分36秒+151日9時間43分-□日=1770756秒
680	□kg+443kg+672kg30g=1790030g	9920mm-□cm-130mm=3m4cm
681	1399440秒-□時間=445440秒	1791120秒-□時間-4日4時間8分=476640秒
682	23240mg+11600mg-□g=13g840mg	51km958m10cm-1811200cm-1284610cm=□km
683	10g+□g=307g	1839480秒-594240秒-□時間=176040秒
684	366kg440g+□kg+547000g=1658kg440g	1874000mg-□g-738g=391000mg
685	1875000mg-□kg=875000mg	39cm2mm+1m60cm-□m=99cm2mm
686	259740秒-□時間-32分=63420秒	80日23時間49分24秒-446784秒-1885380秒=□日
687	7時間58分+15時間56分24秒-□分=39384秒	533kg+624717g+□kg=1935717g
688	□日+541日1時間=1710780分	247824分+541日22時間+□日=1959864分
689	2022734分-□日-244694分=774360分	□m+527m=1224000mm
690	164040分+2176344分-673日6時間24分=□日	180日+1300日-528日=□日
691	20kg+683kg-□kg=140kg	2243712秒-□時間=2日12時間15分12秒
692	876km515m60cm-□km=57km515m60cm	60日9時間42分-□時間=2270520秒
693	12日22時間6分+□時間=2322360秒	435mm+200mm-□mm=30cm
694	□時間+125280秒+9日23時間7分=2350500秒	□kg+244kg100g=623kg100g
695	1000cm+□cm+7cm=1023cm	2412000cm-□km=8km120m
696	601kg60g-□kg=162060g	2445300秒-□時間-3日20時間32分=531780秒
697	2448626分-□日-403日3時間38分=590日6時間48分	5100時間+□日+427日11時間=32327時間
698	127km236m70cm-2527800cm-□km=6km958m70cm	□時間+3日6時間44分=625440秒
699	46kg200g+□kg+46000g=143200g	□日+2591400秒=80日23時間50分
700	2777371秒-15日17時間43分31秒-□時間=45960秒	232mg+1g-□mg=851mg
701	9000分+20日3時間36分-12096分=□日	3290399秒-12日15時間25分59秒-□日=642840秒
702	391kg95g-92kg290g-97805g=□kg	□日+17日12時間52分+3344439秒=257日5時間52分39秒
703	3km638m+3430460cm-1594260cm=□km	□日=22日
704	1000mg+10mg+□mg=1044mg	3595048cm-□km=195048cm
705	451560秒+3681240秒-□時間=15日17時間	1192日14時間3分12秒+262日3時間24分-□日=683日17時間27分12秒
706	2042171秒+3719400秒-□日=26日16時間26分11秒	1167時間+25日16時間-823時間=□日
707	4388483cm-1712300cm-376183cm=□km	2000cm+1000cm-□m=700cm
708	4432080秒+□日+80日19時間18分=229日2時間26分	□cm+26cm9mm+400mm=1639mm
709	485mm+2m78cm-□cm=685mm	5261640秒+212日13時間8分50秒-□日=15日10時間42分50秒
710	5335511秒-□時間=30日8時間5分11秒	□時間+38160分+28日8時間=124200分
711	286日2時間26分-□日=5624760秒	60180秒+□時間=9日21時間43分
712	19日5時間19分36秒+□時間+1558200秒=5645376秒	1357332m-13500m-□km=669832m
713	□m+1000cm=273m	□kg+5794460mg=268kg794g460mg
714	1日5時間29分-48780秒-□時間=3360秒	5811500mg+□kg+6kg793g100mg=27kg604g600mg
715	38日21時間38分+98日8時間36分-□分=5883240秒	202274日20時間22分18秒-□日-73600日14時間56分18秒=29074日5時間26分
716	5971632秒-□時間-25日19時間51分12秒=348960秒	27048時間-□日=4440時間
717	320mm=□cm	□日+1991940秒+1314508秒=6071248秒
718	367km89m-□km=6808900cm	□mg+1g=1299mg
719	42日16時間52分+6940620秒-□日=3372540秒	28g+100mg+□g=112g100mg
720	□km+7006685cm=153km66m85cm	55kg68g+□kg+64kg754g=202kg822g
721	7346400秒-□日=8日40分	105960分+□日+45420分=262260分
722	226km376m-□km-7426300cm=65km113m	237m-□m-100m=50m
723	135kg+□kg+144kg=471kg	4135740秒+7594680秒+□日=327日18時間27分
724	7761000cm+16km87m-□km=2469700cm	32370m+□km+46km860m=148km230m
725	1800g+□kg+3kg117g=8917g	7771731mg-1002340mg-2kg769g391mg=□kg
726	23490km+79000km-□km=20242km	7542350cm+86km988m-8016350cm=□m
727	704日17時間20分24秒-8277600秒-□日=293日22時間24秒	4分+4分-□秒=2分45秒
728	407日11時間25分-□日-87日47分=8419080秒	90g+□g=313g
729	8839600mg+12kg720g-8559600mg=□kg	□g+11801mg=24801mg
730	□g+2kg977g=8969000mg	231日4時間24分+□時間=480日20時間24分
731	□秒+120秒=248秒	12km740m89cm+207km749m-9248989cm=□km
732	9304440秒+682日14時間12分-□日=390日6時間46分	401kg135g910mg-□kg=1135910mg
733	20日+104日12時間-57日12時間=□日	9423734秒+19日12時間16分-5320694秒=□日
734	161480mg-□g-56g480mg=48g	9437760cm+10km580m-□km=47km957m60cm
735	557km725m90cm-9537590cm-□km=53km350m	186355g+530kg708g-□kg=308063g
736	9700000cm=□km	□秒=1分37秒
737	80kg+70kg-73kg=□kg	□km+2322000cm=10022000cm
738	11m90cm-10m-□cm=60cm	7621560秒+10060728秒-6450288秒=□日
739	9662950m+5726km-□km=4986km950m	27km467m90cm-6756900mm-10309000mm=□m
740	9268日10時間48分+11006220分-□時間=9984948分	652912時間-179448時間-□時間=9750日
741	113分-□分=53分	50km650m+□km=11065000cm
742	42kg+46485g-□kg=42kg485g	42km875m63cm+23km610m+□km=11248563cm
743	12日12時間+□時間+10日=35日3時間	484km210m70cm-□km-11525670cm=65km954m
744	4080時間-1320時間-528時間=□日	12017900cm-□km=2717900cm
745	12200000cm=□km	1m20cm+□cm+1m2cm6mm=3m44cm6mm
746	120分+□分=245分	12500000cm=□km
747	94542m+18890m-22km432m=□km	5054710cm+12736982cm-86km916m92cm=□km
748	□g+10g60mg+46200mg=140260mg	13080056秒-5456880秒-□日=365576秒
749	13115800cm+84km816m56cm-4997456cm=□km	70km+□km=236km
